animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
702614,2095,17,Male,Mageh1,P56,coronal,ISH,2,Nothing,1.63
702616,2097,26,Male,Cdca7,P56,coronal,ISH,2,Nothing,1.63
77385531,321-0083,78529015,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702662,2180,62,Male,Actc1,P56,coronal,ISH,2,Nothing,1.63
702626,2112,71,Male,9130024F11Rik,P56,coronal,ISH,2,Nothing,1.63
702620,2101,77,Male,Adcy4,P56,coronal,ISH,2,Nothing,1.63
702770,2319,108,Male,Aqp4,P56,coronal,ISH,2,Nothing,1.63
702608,2089,142,Male,Islr2,P56,coronal,ISH,2,Nothing,1.63
702615,2096,211,Male,Ccnl2,P56,coronal,ISH,2,Nothing,1.63
71339237,05-3071,72472787,Male,Ddr1,P56,coronal,ISH,2,Nothing,1.049
702555,2004,252,Male,Chat,P56,coronal,ISH,2,Nothing,1.63
702486,1902,318,Male,D16Ertd472e,P56,coronal,ISH,2,Nothing,1.63
71935606,05-3317,73982192,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71203524,05-2944,71946596,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702495,1912,390,Male,Enc1,P56,coronal,ISH,2,Nothing,1.63
71250824,05-2991,72129293,Male,Lrrn1,P56,coronal,ISH,2,Nothing,1.049
702687,2216,496,Male,Ghrh,P56,coronal,ISH,2,Nothing,1.63
702538,1972,515,Male,Gng4,P56,coronal,ISH,2,Nothing,1.63
702583,2048,537,Male,Grm1,P56,coronal,ISH,2,Nothing,1.63
702576,2040,609,Male,Kcnj6,P56,coronal,ISH,2,Nothing,1.63
702613,2094,653,Male,Lrp5,P56,coronal,ISH,2,Nothing,1.63
702787,2339,655,Male,Lynx1,P56,coronal,ISH,2,Nothing,1.63
702687,2216,748,Male,Oaz2,P56,coronal,ISH,2,Nothing,1.63
702607,2088,958,Male,Sept5,P56,coronal,ISH,2,Nothing,1.63
702572,2036,1065,Male,Tnni3,P56,coronal,ISH,2,Nothing,1.63
702534,1966,1091,Male,Ucn3,P56,coronal,ISH,2,Nothing,1.63
702803,2357,1233,Male,N6amt1,P56,coronal,ISH,2,Nothing,1.63
702802,2355,1301,Male,Top2a,P56,coronal,ISH,2,Nothing,1.63
71571392,05-3211,73756135,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
