gene,comparison_experiment_count,sample,pearson_r,voxel_count,pearson_r_brain,voxel_count_brain,pearson_r_atlas_regions,atlas_region_count,pearson_r_real_data,voxel_count_real_data,pearson_r_interpolated_only,voxel_count_interpolated_only,reference_experiment_ids,comparison_experiment_ids,excluded_experiment_id,seed
Cacna2d1,1,0,0.65053684,1295040,0.54521334,511377,0.9008102,698,0.5697467,60255,0.54191136,451122,"[72119649, 75042246, 78544953, 78544959, 78544961, 78544963, 78544979, 78557703, 78557705, 78557709, 78557711, 79707526, 79707530, 79707532, 80409521]",[79707516],78544983.0,20260812
Cacna2d1,1,1,0.63904667,1295040,0.5427898,511377,0.8953124,698,0.530813,63215,0.54423666,448162,"[72119649, 75042246, 78544955, 78544957, 78544961, 78544981, 78557705, 78557709, 78557711, 79707516, 79707530, 79707532, 80409515, 80409517, 80409521]",[78557703],78544983.0,20260812
Cacna2d1,1,2,0.5896727,1295040,0.48864174,511377,0.86088085,698,0.5074835,57555,0.486147,453822,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544963, 78544965, 78557703, 78557709, 78557711, 79707516, 80409515, 80409519, 80409521]",[78544979],78544983.0,20260812
Cacna2d1,1,3,0.4935562,1295040,0.35592622,511377,0.772936,698,0.335177,54375,0.35856634,457002,"[72119649, 78544959, 78544961, 78544963, 78544965, 78544979, 78557705, 78557707, 78557709, 79707526, 79707530, 79707532, 80409515, 80409517, 80409519]",[78544981],78544983.0,20260812
Cacna2d1,1,4,0.59068406,1295040,0.47318888,511377,0.8732907,698,0.47583914,57314,0.4728434,454063,"[78544955, 78544957, 78544959, 78544963, 78544965, 78544979, 78544981, 78557703, 78557709, 79707530, 79707532, 79707760, 80409515, 80409519, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,5,0.5754571,1295040,0.46092188,511377,0.8710346,698,0.47690105,54287,0.45870778,457090,"[72119649, 75042246, 78544953, 78544961, 78544963, 78544981, 79707516, 79707526, 79707530, 79707532, 79707760, 80409515, 80409517, 80409519, 80409521]",[78544959],78544983.0,20260812
Cacna2d1,1,6,0.55290496,1295040,0.42519042,511377,0.8583485,698,0.42893994,57293,0.4246449,454084,"[72119649, 75042246, 78544953, 78544957, 78544959, 78544961, 78544963, 78557705, 78557707, 79707516, 79707526, 79707532, 79707760, 80409515, 80409519]",[78544955],78544983.0,20260812
Cacna2d1,1,7,0.5922651,1295040,0.47637624,511377,0.87352145,698,0.4769519,57314,0.47629803,454063,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544963, 78544965, 78544979, 78544981, 78557707, 79707516, 79707526, 79707760, 80409515, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,8,0.57277656,1295040,0.44166616,511377,0.8431189,698,0.41491467,60388,0.44558316,450989,"[78544955, 78544959, 78544961, 78544963, 78544965, 78544981, 78557703, 78557705, 78557711, 79707516, 79707526, 79707530, 80409515, 80409517, 80409521]",[80409519],78544983.0,20260812
Cacna2d1,1,9,0.593181,1295040,0.4745425,511377,0.8814156,698,0.47475594,57469,0.47452635,453908,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544961, 78544963, 78557703, 78557705, 78557707, 78557709, 78557711, 79707516, 79707526, 79707530]",[80409515],78544983.0,20260812
Cacna2d1,1,10,0.5985439,1295040,0.48159137,511377,0.89327073,698,0.48735374,57469,0.4808924,453908,"[72119649, 75042246, 78544953, 78544955, 78544959, 78544961, 78544965, 78544981, 78557703, 78557711, 79707526, 79707532, 79707760, 80409517, 80409519]",[80409515],78544983.0,20260812
Cacna2d1,1,11,0.5579816,1295040,0.43842366,511377,0.88506275,698,0.45365977,58270,0.43641004,453107,"[72119649, 75042246, 78544953, 78544955, 78544957, 78544959, 78544961, 78544963, 78544979, 78544981, 78557703, 78557711, 79707532, 80409515, 80409521]",[78557707],78544983.0,20260812
Cacna2d1,1,12,0.4398795,1295040,0.2846098,511377,0.51125824,698,0.29015866,55448,0.2839201,455929,"[75042246, 78544955, 78544961, 78544963, 78544979, 78557703, 78557705, 78557709, 79707526, 79707532, 79707760, 80409515, 80409517, 80409519, 80409521]",[78544957],78544983.0,20260812
