gene,comparison_experiment_count,count,mean,std,median
Cacna2d1,1,100,0.5920957,0.05297145,0.5900358
Cacna2d1,2,100,0.7017313,0.033690173,0.7062675
Cacna2d1,3,100,0.76031226,0.019268628,0.7619252
Cacna2d1,4,100,0.79749954,0.016600464,0.79997385
Cacna2d1,5,100,0.82226896,0.011951765,0.8249476
Cacna2d1,6,100,0.84046763,0.00861182,0.84048295
Cacna2d1,7,100,0.8544214,0.008180399,0.85547733
Cacna2d1,8,100,0.8643379,0.0068767006,0.8655537
Cacna2d1,9,100,0.8729442,0.0057562822,0.873693
Cacna2d1,10,100,0.8794398,0.0040046107,0.87963593
Calb1,1,100,0.49796677,0.04060045,0.49422702
Calb1,2,100,0.61744046,0.028764345,0.616502
Calb1,3,100,0.6828449,0.021183323,0.68270606
Calb1,4,100,0.7231638,0.019233458,0.7224794
Calb1,5,100,0.7527216,0.015679333,0.7531314
Calb1,6,100,0.77700675,0.012574176,0.7778429
Calb1,7,100,0.79142684,0.01096503,0.79313743
Calb1,8,100,0.8057831,0.009224679,0.80738974
Calb1,9,100,0.8166074,0.009397048,0.8182659
Calb1,10,100,0.8269225,0.007935439,0.82769346
Cap1,1,100,0.69763064,0.043967783,0.7013798
Cap1,2,100,0.802996,0.024968237,0.8064418
Cap1,3,100,0.84730226,0.016979428,0.84812367
Cap1,4,100,0.8729354,0.011731701,0.87194085
Cap1,5,100,0.892879,0.008326042,0.8935781
Cap1,6,100,0.90293634,0.007975958,0.90333277
Cap1,7,100,0.9120968,0.00635712,0.9129547
Cap1,8,100,0.9195859,0.005940957,0.9194621
Cap1,9,100,0.92415476,0.0051949206,0.9241501
Cap1,10,100,0.92881274,0.0046838266,0.92911404
Etv1,1,100,0.41205642,0.062745705,0.42536387
Etv1,2,100,0.52435756,0.03931309,0.53180027
Etv1,3,100,0.58742183,0.0353422,0.59593093
Etv1,4,100,0.6372768,0.02778109,0.6393267
Etv1,5,100,0.6722316,0.024562752,0.6746439
Etv1,6,100,0.6975116,0.01899917,0.69994986
Etv1,7,100,0.7138111,0.017961828,0.71611464
Etv1,8,100,0.7339157,0.01564612,0.7345992
Etv1,9,100,0.7480134,0.013556078,0.7495063
Etv1,10,100,0.759845,0.013940641,0.7614963
Grin2b,1,100,0.6523154,0.058251616,0.6575929
Grin2b,2,100,0.76958597,0.029150257,0.7733545
Grin2b,3,100,0.8264872,0.017282391,0.82723165
Grin2b,4,100,0.85162455,0.012784748,0.8514617
Grin2b,5,100,0.8709987,0.012383756,0.8717875
Grin2b,6,100,0.88642645,0.008597849,0.8859948
Grin2b,7,100,0.894476,0.0076730386,0.8941704
Grin2b,8,100,0.90172094,0.007422199,0.902364
Grin2b,9,100,0.90990657,0.0059976876,0.9099233
Grin2b,10,100,0.9147583,0.0052946396,0.91532725
Inpp4b,1,100,0.53674066,0.075640656,0.54934263
Inpp4b,2,100,0.6634683,0.048487984,0.6675367
Inpp4b,3,100,0.72462875,0.03094614,0.7288552
Inpp4b,4,100,0.76130486,0.023273898,0.7643897
Inpp4b,5,100,0.7889816,0.017916953,0.7913451
Inpp4b,6,100,0.8100792,0.016511777,0.8102441
Inpp4b,7,100,0.824965,0.013837047,0.82745427
Inpp4b,8,100,0.8383669,0.010878653,0.8400354
Inpp4b,9,100,0.846714,0.010060613,0.8473411
Inpp4b,10,100,0.85522753,0.008831044,0.8565442
Ndnf,1,100,0.5612062,0.08292572,0.56980604
Ndnf,2,100,0.683134,0.04517573,0.6904488
Ndnf,3,100,0.7404087,0.0413338,0.7449163
Ndnf,4,100,0.7824168,0.025532324,0.78646505
Ndnf,5,100,0.80865186,0.02007854,0.8114438
Ndnf,6,100,0.82488626,0.018626153,0.8274806
Ndnf,7,100,0.8412012,0.015045015,0.8424408
Ndnf,8,100,0.85063905,0.013574526,0.8516612
Ndnf,9,100,0.86070085,0.011465165,0.86276406
Ndnf,10,100,0.86756164,0.009060053,0.86783457
Nnat,1,100,0.56693614,0.04565901,0.57028973
Nnat,2,100,0.69404703,0.031896934,0.6973072
Nnat,3,100,0.7503062,0.024711685,0.7539772
Nnat,4,100,0.7883993,0.018478211,0.7898346
Nnat,5,100,0.81217515,0.014547775,0.8132081
Nnat,6,100,0.83250517,0.01204493,0.83369493
Nnat,7,100,0.8443341,0.0107798325,0.8458588
Nnat,8,100,0.8548993,0.010138531,0.8566702
Nnat,9,100,0.86208594,0.008958954,0.8622274
Nnat,10,100,0.870793,0.00881105,0.8710666
Rorb,1,100,0.47448912,0.16198775,0.53574145
Rorb,2,100,0.6378417,0.07735435,0.65016437
Rorb,3,100,0.7005241,0.06892755,0.71327096
Rorb,4,100,0.7361282,0.049505852,0.742446
Rorb,5,100,0.76630163,0.03403679,0.7723926
Rorb,6,100,0.78792006,0.03262194,0.79314077
Rorb,7,100,0.8114032,0.022818536,0.8147403
Rorb,8,100,0.8219798,0.017987544,0.8255907
Rorb,9,100,0.83088166,0.021279499,0.8369398
Rorb,10,100,0.8418803,0.015412546,0.84540486
Rprm,1,100,0.5313254,0.053507548,0.5320068
Rprm,2,100,0.6403191,0.039574884,0.6377555
Rprm,3,100,0.7130564,0.024092361,0.71602654
Rprm,4,100,0.75192946,0.019599669,0.751661
Rprm,5,100,0.7820423,0.015824733,0.78343856
Rprm,6,100,0.7980646,0.0122913625,0.7977827
Rprm,7,100,0.8167439,0.010736986,0.8188442
Rprm,8,100,0.829322,0.008893222,0.83041847
Rprm,9,100,0.83822167,0.007836341,0.83884054
Rprm,10,100,0.846675,0.00810864,0.84913284
Wfs1,1,100,0.46603855,0.069630176,0.4959891
Wfs1,2,100,0.5972116,0.037646018,0.6012809
Wfs1,3,100,0.6540118,0.034063607,0.6633887
Wfs1,4,100,0.6967725,0.035693992,0.70485044
Wfs1,5,100,0.7319985,0.023039877,0.73389435
Wfs1,6,100,0.75725144,0.02140811,0.7599516
Wfs1,7,100,0.7740546,0.014477202,0.7763795
Wfs1,8,100,0.78910863,0.012642852,0.7890036
Wfs1,9,100,0.80049,0.012994673,0.8031531
Wfs1,10,100,0.8103419,0.011060502,0.8122575
Zeb2,1,100,0.66102564,0.059120435,0.6672351
Zeb2,2,100,0.7564698,0.03550168,0.7554904
Zeb2,3,100,0.8119394,0.026680902,0.8146911
Zeb2,4,100,0.84455293,0.018283417,0.84794796
Zeb2,5,100,0.86566436,0.014051159,0.8663032
Zeb2,6,100,0.8810495,0.011787927,0.8829361
Zeb2,7,100,0.88897794,0.010308525,0.8903491
Zeb2,8,100,0.8985173,0.009432256,0.90008897
Zeb2,9,100,0.90485156,0.007796436,0.9052025
Zeb2,10,100,0.9104937,0.0064460104,0.9097031
