Unnamed: 0,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
1,702626,2112,71,Male,9130024F11Rik,P56,coronal,ISH,2,Nothing,1.63
6,702576,2040,609,Male,Kcnj6,P56,coronal,ISH,2,Nothing,1.63
7,702572,2036,1065,Male,Tnni3,P56,coronal,ISH,2,Nothing,1.63
9,702822,2385,1982,Male,Klhl24,P56,coronal,ISH,2,Nothing,1.63
10,702618,2099,2179,Male,Ei24,P56,coronal,ISH,2,Nothing,1.63
11,702484,1900,2230,Male,Foxg1,P56,coronal,ISH,2,Nothing,1.63
14,149367,04-0378,67752116,Male,Vtn,P56,coronal,ISH,2,Nothing,1.049
17,72010463,05-3364,73992915,Male,Pard3,P56,coronal,ISH,2,Nothing,1.049
18,72147825,05-3407,74047901,Male,Fam213b,P56,coronal,ISH,2,Nothing,1.049
20,74833327,06-0301,74988756,Male,LOC381742,P56,coronal,ISH,2,Nothing,1.049
21,74899350,06-0346,75144618,Male,Tspan2,P56,coronal,ISH,2,Nothing,1.049
22,77281698,07-0027,77413692,Male,Il4ra,P56,coronal,ISH,2,Nothing,1.049
23,77561820,07-0122,77887858,Male,Psg16,P56,coronal,ISH,2,Nothing,1.049
25,78087662,321-0719,79748224,Male,Rorb,P56,coronal,ISH,2,Nothing,1.049
26,79398731,335-1185,79907936,Male,Cxcl12,P56,coronal,ISH,2,Nothing,1.049
55,77385531,321-0083,78557705,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
69,73634011,05-3718,74581442,Male,Palmd,P56,coronal,ISH,2,Nothing,1.049
70,77431371,321-0070,77764087,Female,Cacna1g,P56,coronal,ISH,2,Nothing,1.049
107,642993,04-0783,67870479,Male,Prkcsh,P56,coronal,ISH,2,Nothing,1.049
113,73989623,06-0033,74658055,Male,Adap1,P56,coronal,ISH,2,Nothing,1.049
124,74553733,06-0198,74819229,Male,Prdx4,P56,coronal,ISH,2,Nothing,1.049
156,71299316,05-3032,72340223,Male,Prlr,P56,coronal,ISH,2,Nothing,1.049
165,71227918,05-2968,72104186,Male,Cdhr1,P56,coronal,ISH,2,Nothing,1.049
166,73568155,05-3627,74425553,Male,Amot,P56,coronal,ISH,2,Nothing,1.049
175,702618,2099,1313,Male,9130024F11Rik,P56,coronal,ISH,2,Nothing,1.63
178,71444954,05-3141,73635773,Male,Stk24,P56,coronal,ISH,2,Nothing,1.049
181,77799956,321-0496,78544981,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
201,79355487,335-1124,79556716,Male,Hopx,P56,coronal,ISH,2,Nothing,1.049
202,74741201,06-0282,74988285,Male,Ascl5,P56,coronal,ISH,2,Nothing,1.049
210,71250808,05-2983,72128754,Male,Slc22a23,P56,coronal,ISH,2,Nothing,1.049
233,71887442,05-3275,73817930,Male,Gyg,P56,coronal,ISH,2,Nothing,1.049
234,74785062,06-0293,74988591,Male,Gramd3,P56,coronal,ISH,2,Nothing,1.049
243,77407903,321-0140,79746112,Male,Etv1,P56,coronal,ISH,2,Nothing,1.049
247,74495210,06-0178,74750013,Male,Galntl6,P56,coronal,ISH,2,Nothing,1.049
252,73633956,05-3709,74581371,Male,LOC434002,P56,coronal,ISH,2,Nothing,1.049
267,702804,2358,2183,Male,Eif5a,P56,coronal,ISH,2,Nothing,1.63
281,73573684,05-3646,74511807,Male,Gsto1,P56,coronal,ISH,2,Nothing,1.049
286,69977290,05-1976,70613967,Male,Enpp2,P56,coronal,ISH,2,Nothing,1.049
304,710947,310-1479,112646245,Male,Grip2,P56,coronal,ISH,2,Nothing,0.9887
309,77561824,07-0123,77887880,Male,Tmc6,P56,coronal,ISH,2,Nothing,1.049
312,79355608,335-1132,79591365,Male,Slc6a3,P56,coronal,ISH,2,Nothing,1.049
327,71282066,05-2994,72283796,Male,Fezf1,P56,coronal,ISH,2,Nothing,1.049
341,702620,2101,2353,Male,Kif5b,P56,coronal,ISH,2,Nothing,1.63
344,75819053,06-0702,76115741,Male,Prosc,P56,coronal,ISH,2,Nothing,1.049
353,77529354,07-0116,77866848,Male,Gucy1a3,P56,coronal,ISH,2,Nothing,1.049
356,71120652,05-2883,71924492,Male,LOC545810,P56,coronal,ISH,2,Nothing,1.049
364,71339010,05-3056,72472765,Male,Cerk,P56,coronal,ISH,2,Nothing,1.049
372,71392940,05-3080,72472804,Male,Galnt14,P56,coronal,ISH,2,Nothing,1.049
380,75195194,06-0489,75774114,Male,Sult1a1,P56,coronal,ISH,2,Nothing,1.049
408,77385539,321-0085,78601108,Male,Ndnf,P56,coronal,ISH,2,Nothing,1.049
426,79355491,335-1125,79556738,Male,Pvalb,P56,coronal,ISH,2,Nothing,1.049
429,71444949,05-3139,73616037,Male,Lmo3,P56,coronal,ISH,2,Nothing,1.049
439,71993655,05-3335,73931423,Male,Gm17746,P56,coronal,ISH,2,Nothing,1.049
440,74865142,06-0323,75043153,Male,Cd33,P56,coronal,ISH,2,Nothing,1.049
452,77385527,321-0082,78544955,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
469,71903128,05-3293,73907504,Male,LOC620538,P56,coronal,ISH,2,Nothing,1.049
477,70379864,05-2293,71016573,Male,Lifr,P56,coronal,ISH,2,Nothing,1.049
481,74833938,06-0305,75038431,Male,Drd3,P56,coronal,ISH,2,Nothing,1.049
487,74833315,06-0298,74988742,Male,Cep72,P56,coronal,ISH,2,Nothing,1.049
509,702784,2335,1297,Male,Tacr3,P56,coronal,ISH,2,Nothing,1.63
510,702690,2219,1444,Male,Wnt4,P56,coronal,ISH,2,Nothing,1.63
511,702833,2397,2101,Male,Cmtm4,P56,coronal,ISH,2,Nothing,1.63
513,83963,04-0235,356858,Male,Gde1,P56,coronal,ISH,2,Nothing,1.049
514,69784790,05-1836,70560278,Male,Gpr165,P56,coronal,ISH,2,Nothing,1.049
516,72970664,05-3503,74274685,Male,Socs5,P56,coronal,ISH,2,Nothing,1.049
517,74657040,06-0243,74881364,Male,Tmem74,P56,coronal,ISH,2,Nothing,1.049
518,74878325,06-0336,75084491,Male,Pcsk6,P56,coronal,ISH,2,Nothing,1.049
519,75343464,06-0585,75988557,Male,Nxf7,P56,coronal,ISH,2,Nothing,1.049
520,70929851,05-2711,71717078,Male,Hapln4,P56,coronal,ISH,2,Nothing,1.049
521,79355679,335-1139,79591683,Male,Slit2,P56,coronal,ISH,2,Nothing,1.049
558,77294076,07-0036,77414911,Male,Edc3,P56,coronal,ISH,2,Nothing,1.049
559,702535,1967,1518,Male,Pla2g12a,P56,coronal,ISH,2,Nothing,1.63
560,702537,1971,1203,Male,Fjx1,P56,coronal,ISH,2,Nothing,1.63
587,702606,2087,846,Male,Psap,P56,coronal,ISH,2,Nothing,1.63
591,74510837,06-0181,74750076,Male,mCG1049722.1,P56,coronal,ISH,2,Nothing,1.049
599,417716,04-0698,67810540,Male,Mef2d,P56,coronal,ISH,2,Nothing,1.049
